category,n,n_correct,family,variant,dataset,n_incorrect,accuracy
anaphor_agreement,2000,1984,Llama-3.2-1B,base,blimp,16,0.992
argument_structure,7000,5831,Llama-3.2-1B,base,blimp,1169,0.833
binding,7000,5425,Llama-3.2-1B,base,blimp,1575,0.775
control_raising,5000,4108,Llama-3.2-1B,base,blimp,892,0.8216
determiner_noun_agreement,8000,7459,Llama-3.2-1B,base,blimp,541,0.932375
ellipsis,2000,1715,Llama-3.2-1B,base,blimp,285,0.8575
filler_gap_dependency,7000,5358,Llama-3.2-1B,base,blimp,1642,0.7654285714285715
irregular_forms,2000,1847,Llama-3.2-1B,base,blimp,153,0.9235
island_effects,8000,5275,Llama-3.2-1B,base,blimp,2725,0.659375
npi_licensing,7000,5245,Llama-3.2-1B,base,blimp,1755,0.7492857142857143
quantifiers,4000,3042,Llama-3.2-1B,base,blimp,958,0.7605
s-selection,2000,1618,Llama-3.2-1B,base,blimp,382,0.809
subject_verb_agreement,6000,5039,Llama-3.2-1B,base,blimp,961,0.8398333333333333
agent-properties,1120,678,Llama-3.2-1B,base,ewok,442,0.6053571428571428
material-dynamics,780,240,Llama-3.2-1B,base,ewok,540,0.3076923076923077
material-properties,124,82,Llama-3.2-1B,base,ewok,42,0.6612903225806451
physical-dynamics,75,49,Llama-3.2-1B,base,ewok,26,0.6533333333333333
physical-interactions,280,138,Llama-3.2-1B,base,ewok,142,0.4928571428571429
physical-relations,415,219,Llama-3.2-1B,base,ewok,196,0.5277108433734939
quantitative-properties,190,118,Llama-3.2-1B,base,ewok,72,0.6210526315789474
social-interactions,175,92,Llama-3.2-1B,base,ewok,83,0.5257142857142857
social-properties,185,130,Llama-3.2-1B,base,ewok,55,0.7027027027027027
social-relations,785,510,Llama-3.2-1B,base,ewok,275,0.6496815286624203
spatial-relations,245,98,Llama-3.2-1B,base,ewok,147,0.4
anaphor_agreement,2000,1962,Llama-3.2-1B,it,blimp,38,0.981
argument_structure,7000,5334,Llama-3.2-1B,it,blimp,1666,0.762
binding,7000,4878,Llama-3.2-1B,it,blimp,2122,0.6968571428571428
control_raising,5000,3954,Llama-3.2-1B,it,blimp,1046,0.7908
determiner_noun_agreement,8000,7324,Llama-3.2-1B,it,blimp,676,0.9155
ellipsis,2000,1652,Llama-3.2-1B,it,blimp,348,0.826
filler_gap_dependency,7000,5270,Llama-3.2-1B,it,blimp,1730,0.7528571428571429
irregular_forms,2000,1385,Llama-3.2-1B,it,blimp,615,0.6925
island_effects,8000,5416,Llama-3.2-1B,it,blimp,2584,0.677
npi_licensing,7000,4222,Llama-3.2-1B,it,blimp,2778,0.6031428571428571
quantifiers,4000,2932,Llama-3.2-1B,it,blimp,1068,0.733
s-selection,2000,1350,Llama-3.2-1B,it,blimp,650,0.675
subject_verb_agreement,6000,3989,Llama-3.2-1B,it,blimp,2011,0.6648333333333334
agent-properties,1120,606,Llama-3.2-1B,it,ewok,514,0.5410714285714285
material-dynamics,780,272,Llama-3.2-1B,it,ewok,508,0.3487179487179487
material-properties,124,90,Llama-3.2-1B,it,ewok,34,0.7258064516129032
physical-dynamics,75,32,Llama-3.2-1B,it,ewok,43,0.4266666666666667
physical-interactions,280,131,Llama-3.2-1B,it,ewok,149,0.46785714285714286
physical-relations,415,229,Llama-3.2-1B,it,ewok,186,0.5518072289156627
quantitative-properties,190,104,Llama-3.2-1B,it,ewok,86,0.5473684210526316
social-interactions,175,93,Llama-3.2-1B,it,ewok,82,0.5314285714285715
social-properties,185,131,Llama-3.2-1B,it,ewok,54,0.7081081081081081
social-relations,785,464,Llama-3.2-1B,it,ewok,321,0.5910828025477707
spatial-relations,245,108,Llama-3.2-1B,it,ewok,137,0.44081632653061226
anaphor_agreement,2000,1988,Llama-3.2-3B,base,blimp,12,0.994
argument_structure,7000,5742,Llama-3.2-3B,base,blimp,1258,0.8202857142857143
binding,7000,5488,Llama-3.2-3B,base,blimp,1512,0.784
control_raising,5000,4043,Llama-3.2-3B,base,blimp,957,0.8086
determiner_noun_agreement,8000,7425,Llama-3.2-3B,base,blimp,575,0.928125
ellipsis,2000,1687,Llama-3.2-3B,base,blimp,313,0.8435
filler_gap_dependency,7000,5024,Llama-3.2-3B,base,blimp,1976,0.7177142857142857
irregular_forms,2000,1813,Llama-3.2-3B,base,blimp,187,0.9065
island_effects,8000,5300,Llama-3.2-3B,base,blimp,2700,0.6625
npi_licensing,7000,5160,Llama-3.2-3B,base,blimp,1840,0.7371428571428571
quantifiers,4000,2957,Llama-3.2-3B,base,blimp,1043,0.73925
s-selection,2000,1655,Llama-3.2-3B,base,blimp,345,0.8275
subject_verb_agreement,6000,5059,Llama-3.2-3B,base,blimp,941,0.8431666666666666
agent-properties,1120,631,Llama-3.2-3B,base,ewok,489,0.5633928571428571
material-dynamics,780,305,Llama-3.2-3B,base,ewok,475,0.391025641025641
material-properties,124,88,Llama-3.2-3B,base,ewok,36,0.7096774193548387
physical-dynamics,75,46,Llama-3.2-3B,base,ewok,29,0.6133333333333333
physical-interactions,280,130,Llama-3.2-3B,base,ewok,150,0.4642857142857143
physical-relations,415,212,Llama-3.2-3B,base,ewok,203,0.5108433734939759
quantitative-properties,190,125,Llama-3.2-3B,base,ewok,65,0.6578947368421053
social-interactions,175,89,Llama-3.2-3B,base,ewok,86,0.5085714285714286
social-properties,185,127,Llama-3.2-3B,base,ewok,58,0.6864864864864865
social-relations,785,444,Llama-3.2-3B,base,ewok,341,0.5656050955414013
spatial-relations,245,102,Llama-3.2-3B,base,ewok,143,0.4163265306122449
anaphor_agreement,2000,1969,Llama-3.2-3B,it,blimp,31,0.9845
argument_structure,7000,5107,Llama-3.2-3B,it,blimp,1893,0.7295714285714285
binding,7000,4982,Llama-3.2-3B,it,blimp,2018,0.7117142857142857
control_raising,5000,3649,Llama-3.2-3B,it,blimp,1351,0.7298
determiner_noun_agreement,8000,7205,Llama-3.2-3B,it,blimp,795,0.900625
ellipsis,2000,1672,Llama-3.2-3B,it,blimp,328,0.836
filler_gap_dependency,7000,5306,Llama-3.2-3B,it,blimp,1694,0.758
irregular_forms,2000,941,Llama-3.2-3B,it,blimp,1059,0.4705
island_effects,8000,5238,Llama-3.2-3B,it,blimp,2762,0.65475
npi_licensing,7000,4083,Llama-3.2-3B,it,blimp,2917,0.5832857142857143
quantifiers,4000,2485,Llama-3.2-3B,it,blimp,1515,0.62125
s-selection,2000,1401,Llama-3.2-3B,it,blimp,599,0.7005
subject_verb_agreement,6000,4287,Llama-3.2-3B,it,blimp,1713,0.7145
agent-properties,1120,564,Llama-3.2-3B,it,ewok,556,0.5035714285714286
material-dynamics,780,345,Llama-3.2-3B,it,ewok,435,0.4423076923076923
material-properties,124,87,Llama-3.2-3B,it,ewok,37,0.7016129032258065
physical-dynamics,75,49,Llama-3.2-3B,it,ewok,26,0.6533333333333333
physical-interactions,280,111,Llama-3.2-3B,it,ewok,169,0.3964285714285714
physical-relations,415,224,Llama-3.2-3B,it,ewok,191,0.5397590361445783
quantitative-properties,190,107,Llama-3.2-3B,it,ewok,83,0.5631578947368421
social-interactions,175,90,Llama-3.2-3B,it,ewok,85,0.5142857142857142
social-properties,185,145,Llama-3.2-3B,it,ewok,40,0.7837837837837838
social-relations,785,384,Llama-3.2-3B,it,ewok,401,0.489171974522293
spatial-relations,245,116,Llama-3.2-3B,it,ewok,129,0.47346938775510206
anaphor_agreement,2000,1970,Llama-3.1-8B,base,blimp,30,0.985
argument_structure,7000,5734,Llama-3.1-8B,base,blimp,1266,0.8191428571428572
binding,7000,5659,Llama-3.1-8B,base,blimp,1341,0.8084285714285714
control_raising,5000,4017,Llama-3.1-8B,base,blimp,983,0.8034
determiner_noun_agreement,8000,7467,Llama-3.1-8B,base,blimp,533,0.933375
ellipsis,2000,1677,Llama-3.1-8B,base,blimp,323,0.8385
filler_gap_dependency,7000,5048,Llama-3.1-8B,base,blimp,1952,0.7211428571428572
irregular_forms,2000,1839,Llama-3.1-8B,base,blimp,161,0.9195
island_effects,8000,5462,Llama-3.1-8B,base,blimp,2538,0.68275
npi_licensing,7000,4997,Llama-3.1-8B,base,blimp,2003,0.7138571428571429
quantifiers,4000,2946,Llama-3.1-8B,base,blimp,1054,0.7365
s-selection,2000,1669,Llama-3.1-8B,base,blimp,331,0.8345
subject_verb_agreement,6000,4998,Llama-3.1-8B,base,blimp,1002,0.833
agent-properties,1120,649,Llama-3.1-8B,base,ewok,471,0.5794642857142858
material-dynamics,780,296,Llama-3.1-8B,base,ewok,484,0.37948717948717947
material-properties,124,93,Llama-3.1-8B,base,ewok,31,0.75
physical-dynamics,75,41,Llama-3.1-8B,base,ewok,34,0.5466666666666666
physical-interactions,280,115,Llama-3.1-8B,base,ewok,165,0.4107142857142857
physical-relations,415,221,Llama-3.1-8B,base,ewok,194,0.5325301204819277
quantitative-properties,190,119,Llama-3.1-8B,base,ewok,71,0.6263157894736842
social-interactions,175,83,Llama-3.1-8B,base,ewok,92,0.4742857142857143
social-properties,185,123,Llama-3.1-8B,base,ewok,62,0.6648648648648648
social-relations,785,479,Llama-3.1-8B,base,ewok,306,0.6101910828025477
spatial-relations,245,123,Llama-3.1-8B,base,ewok,122,0.5020408163265306
anaphor_agreement,2000,1970,Llama-3.1-8B,it,blimp,30,0.985
argument_structure,7000,5081,Llama-3.1-8B,it,blimp,1919,0.7258571428571429
binding,7000,5270,Llama-3.1-8B,it,blimp,1730,0.7528571428571429
control_raising,5000,3768,Llama-3.1-8B,it,blimp,1232,0.7536
