layer,acc_sum,acc_avg,n,family,variant,model,dataset,max_layer,rel_depth
1,0.14797014925373134,0.10098507462686568,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.0625
2,0.1852686567164179,0.16980597014925375,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.125
3,0.2140597014925373,0.2002089552238806,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.1875
4,0.2322238805970149,0.2207313432835821,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.25
5,0.24232835820895524,0.23132835820895523,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.3125
6,0.25102985074626866,0.2442686567164179,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.375
7,0.2652686567164179,0.2584626865671642,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.4375
8,0.2857611940298508,0.27755223880597013,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.5
9,0.3024179104477612,0.29976119402985074,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.5625
10,0.36259701492537316,0.36659701492537317,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.625
11,0.41461194029850745,0.41622388059701493,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.6875
12,0.4851791044776119,0.4871641791044776,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.75
13,0.5677910447761194,0.566,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.8125
14,0.6351343283582089,0.6353731343283582,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.875
15,0.6627910447761194,0.6516119402985074,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,0.9375
16,0.8051641791044776,0.7798358208955224,67000,Llama-3.2-1B,base,Llama-3.2-1B,blimp,16,1.0
1,0.26657521719250116,0.06287151348879744,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.0625
2,0.2903520804755373,0.21307727480566988,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.125
3,0.3042981252857796,0.22793781435756744,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.1875
4,0.3177869227251943,0.23090992226794696,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.25
5,0.30544124371284864,0.23068129858253314,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.3125
6,0.31550068587105623,0.24188385916780977,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.375
7,0.3223593964334705,0.25674439871970733,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.4375
8,0.33058984910836764,0.25697302240512115,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.5
9,0.3507087334247828,0.27892089620484684,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.5625
10,0.35711019661636945,0.2988111568358482,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.625
11,0.37814357567443985,0.314586191129401,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.6875
12,0.3991769547325103,0.35390946502057613,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.75
13,0.42386831275720166,0.3635116598079561,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.8125
14,0.43461362597165065,0.37837219935985367,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.875
15,0.459304983996342,0.3850022862368541,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,0.9375
16,0.5381801554641061,0.5125743026977595,4374,Llama-3.2-1B,base,Llama-3.2-1B,ewok,16,1.0
1,0.12782089552238807,0.08925373134328358,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.0625
2,0.15282089552238806,0.07979104477611941,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.125
3,0.18495522388059701,0.13082089552238807,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.1875
4,0.21638805970149252,0.16511940298507463,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.25
5,0.22305970149253732,0.17446268656716418,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.3125
6,0.23891044776119405,0.19191044776119404,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.375
7,0.25719402985074624,0.20855223880597015,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.4375
8,0.2685373134328358,0.22895522388059703,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.5
9,0.2857014925373134,0.24461194029850744,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.5625
10,0.35638805970149257,0.32813432835820894,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.625
11,0.410955223880597,0.38704477611940297,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.6875
12,0.503268656716418,0.48680597014925375,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.75
13,0.5757462686567164,0.5669701492537313,67000,Llama-3.2-1B,it,Llama-3.2-1B-it,blimp,16,0.8125
